"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"じとっこ組合 広島中央通り店","050-5488-7561","","広島県","広島市中区新天地","5-3","かずもとやビル2F","https://ya55806.gorp.jp/","True"
"串焼き 木村","050-5487-8112","","愛知県","一宮市栄","1-11-11","UKビル1F","https://kushiyaki-kimura.gorp.jp/","True"
"倉敷個室居酒屋 伸","050-5488-9712","","岡山県","倉敷市阿知","2-17-2","","https://y929302.gorp.jp/","True"
"スンガリー 新宿三丁目店","050-5485-9727","","東京都","新宿区新宿","3-21-6","新宿龍生堂ビルB1","https://g001001.gorp.jp/","True"
"ビストロ酒場 glyph‐グリフ‐ （cafe glyph）","053-545-4111","","静岡県","浜松市浜名区小松","98-7","","https://nbuf001.gorp.jp/","True"
"豚肉料理と韓国料理 居酒屋 とんからり 静岡駅前","050-5486-7703","","静岡県","静岡市駿河区南町","2-1","","https://naeh500.gorp.jp/","True"
"炭火焼き鳥 炭のあかり松本","050-5487-6702","","大阪府","大阪市住吉区東粉浜","1-8-19","","https://suminoakari-matsumoto.gorp.jp/","True"
"Kee’s ‐ Diner","050-5489-4064","","千葉県","木更津市東太田","2-16-7","サンライズビル1F","https://gf6f200.gorp.jp/","True"
"焼肉料理 天ざん PLUS 国体道路店","050-5486-1093","","和歌山県","和歌山市新生町","10-6","","https://tenzanplus.gorp.jp/","True"
"丸明　茶屋ヶ坂店","050-5488-9805","","愛知県","名古屋市千種区茶屋が坂","2-8-3","","https://nbsz444.gorp.jp/","True"
"創作和食と完全個室 和蔵 名古屋栄店","050-5487-7666","","愛知県","名古屋市中区栄","4-5-8","エアリビル9F","https://nbje943.gorp.jp/","True"
"歌舞伎町 牡蠣basara","050-5494-3123","","東京都","新宿区歌舞伎町","1-2-13","新光ビル2F","https://gjgh300.gorp.jp/","True"
"にぎり長次郎 竹田店","050-5489-5285","","京都府","京都市伏見区竹田七瀬川町","20-5","","https://kds9303.gorp.jp/","True"
"九州個室酒場 ザ・ゴエモン","050-5486-6304","","岡山県","倉敷市阿知","2-8-8","","https://y703712.gorp.jp/","True"
"アウトバックステーキハウス 海老名店","050-5485-8160","","神奈川県","海老名市中央","1-18-1","VinaWalk6番館1F","https://g587802.gorp.jp/","True"
"活き活き家 八千代店","050-5484-8366","","千葉県","八千代市米本字平成","4904","","https://ikiikiya-yachiyoten.gorp.jp/","True"
"魚居酒屋 すなおや 東三国店","050-5485-2710","","大阪府","大阪市淀川区東三国","1-25-9","","https://sunaoya-higashimikuni.gorp.jp/","True"
"エルトリート 西葛西店","050-5485-6816","","東京都","江戸川区西葛西","6-10-15","中川ビル1F","https://g047005.gorp.jp/","True"
"しゃぶしゃぶ・日本料理 木曽路 八事店","050-5485-3654","","愛知県","名古屋市昭和区広路町字隼人","3-1","","https://n011425.gorp.jp/","True"
"食堂カフェpotto×タニタカフェ フレンドタウン交野店","050-5488-3350","","大阪府","交野市星田北","2-26-1","","https://kbvd907.gorp.jp/","True"
"ラ・オハナ 横浜本牧店","0570-019-977","","神奈川県","横浜市中区本牧原","18-22","","https://ghrx609.gorp.jp/","True"
"ラ・コシーナ・デ・セレーソ","050-5484-7937","","広島県","広島市中区三川町","2-2","","https://lacocinadecerezo.gorp.jp/","True"
"モチモチ肉汁餃子 居酒屋うりずん 大曽根店","050-5484-5990","","愛知県","名古屋市北区山田","1-4-52","ジェイグロース4F","https://n030211.gorp.jp/","True"
